"","station_id","station_name","lon","lat"
"91",207619,"Uferstraße/Wagnerstraße",10.039741,53.571078
"92",208292,"Winterhuder Weg/ Zimmerstraße",10.02045,53.575308
"93",208295,"Krausestraße/Eilbektal",10.058237,53.576238
"94",208307,"Schleidenstraße/Osterbekstraße",10.03369,53.584582
"95",211706,"Alsenstraße/Düppelstraße",9.948345,53.563037
"96",211709,"Bahrenfelder Straße/Völckersstraße",9.927945,53.556897
"97",211710,"Eulenstraße/Große Brunnenstraße",9.925653,53.550816
"98",211711,"Fischersallee/Bleickenallee",9.92226,53.550966
"99",211920,"Billstraße/Billhorner Deich",10.04287,53.540103
"100",211921,"Holsteinischer Kamp/ Wagnerstraße",10.036608,53.574518
"101",211922,"Weidestraße/Biedermannplatz",10.033846,53.5800038
"102",211923,"Bartholomäusstraße/Beim Alten Schützenhof",10.02957,53.575652
"103",212078,"Bei der Hammer Kirche/Hammerpark",10.055075,53.556699
"104",212079,"Eiffestrasse/Normannenweg",10.030364,53.552123
"105",212607,"Wiesendamm/Roggenkamp",10.042993,53.586958
"106",213235,"St.Petersburger Straße/Bei den Kirchhöfen",9.981839,53.559762
"107",213277,"Großneumarkt/Thielbek",9.980459,53.550977
"108",213679,"U-Bahn Schlump",9.969601,53.567991
"109",213680,"Löwenstraße/Eppendorfer Weg",9.977916,53.583795
"110",213687,"Überseering/Mexikoring",10.024745,53.601619
"111",213688,"Planetarium/Hindenburgstraße",10.01365,53.59595
"112",213792,"Koppelstraße/Lokstedter Grenzstraße",9.943525,53.593587
"113",213825,"Emilienstraße/Fruchtallee",9.953138,53.57169
"114",213832,"Domstraße/Willy-Brandt-Straße",9.994057,53.547486
"115",213833,"Lortzingstraße/Friedrichsberger Straße",10.049568,53.573588
"116",213855,"Bebelallee/Meenkwiese",9.994017,53.599203
"117",213856,"Neumühlen/Övelgönne",9.914731,53.544302
"118",214170,"U-Bahn Baumwall",9.980896,53.544279
"119",218173,"Rothenburgsort/Marktplatz/Lindleystraße",10.038938,53.534288
"120",218174,"Amsinckstraße/ Nordkanalbrücke",10.012361,53.547868
"121",218635,"Auf dem Sande/Kehrwieder-MiniaturWunderland",9.98971,53.543731
"122",218636,"Schopenstehl/Alter Fischmarkt",9.997126,53.548703
"123",224650,"Leinpfad/Fernsicht",9.999404,53.580391
"124",226605,"Barkassenanleger/Mengestraße",9.99647,53.499748
"125",226607,"Neunenfelder Straße/ Kurt-Emmerich-Platz",10.003843,53.497232
"126",227415,"Wandsbeker Chaussee/ Börnestraße",10.059528,53.57047
"127",227770,"Berta-Kröger-Platz/Wilhelm-Strauß-Weg",10.007016,53.497933
"128",229760,"OTTO Group / Wandsbeker Straße",10.070397,53.60026
"129",230054,"Grasbrookpark/Überseequartier",9.997945,53.540282
"130",233536,"Troplowitzstraße / Beiersdorf  / NXP",9.957594,53.582793
"131",239807,"Bullerdeich/Stadtreinigung Hamburg",10.03685,53.544979
"132",241777,"Reeseberg/EBV-Anzengruberstraße",9.990306,53.44896
"133",242358,"Moorstraße/Bahnhof Harburg",9.987994,53.457286
"134",242642,"Herbert-Wehner-Platz/Großer Schippsee",9.983319,53.460407
"135",242643,"Harburger Ring/Neue Straße",9.9775729,53.4606874
"136",242645,"Harburger Rathausstraße/Deichhausweg",9.9804731,53.4599586
"137",242727,"Kanalplatz/Harburger Schlossstraße",9.984148,53.4665
"138",242729,"Alter Postweg / Heimfelder Straße",9.963537,53.465276
"139",242730,"TU Harburg/Denickestraße",9.969487,53.460622
"140",242732,"Gotthelfweg/Außenmühlenteich",9.980675,53.447625
"141",242770,"Schellerdamm/Hausnummer22",9.986136,53.464282
"142",242771,"Fuhlsbüttler Straße/Hellbrookstraße",10.044508,53.59146
"143",243616,"Bogenstraße / Grindelallee",9.977694,53.5712
"144",243617,"Sophienallee / Sandweg",9.94977,53.569769
"145",243618,"Lappenbergsallee / Bei der Apostelkirche",9.944487,53.575573
"146",243619,"Emil-Andresen-Straße / Lohkoppelweg",9.952055,53.59285
"147",243620,"Herthastraße / Einkaufszentrum Bramfeld",10.075913,53.611878
"148",243621,"Friedrich-Ebert-Damm / Lomerstraße",10.079638,53.584919
"149",244093,"Feldstraße / Marktstraße",9.969178,53.557414
"150",244935,"Caffamacherreihe/Valentinskamp.",9.984209,53.555722
"151",244936,"Sievekingsallee/Sievekingdamm",10.052589,53.560835
"152",244937,"Horner Weg/Morahtstieg",10.066926,53.555503
"153",244938,"Horner Rennbahn/ Meurer Weg",10.085077,53.554193
"154",244939,"Osterbrookplatz/ Süderstraße",10.057613,53.546932
"155",244942,"Mittelweg/Sophienterrasse-NDR",9.993122,53.576378
"156",244943,"Große Rainstraße/Ottenser Hauptstraße",9.930344,53.552339
"157",244944,"Hohenzollernring/Friedensallee",9.918508,53.55671
"158",244945,"Friedensallee/Hegarstraße ( S Bahn Bahrenfeld ) ",9.908946,53.56026
"159",244946,"Dürerstraße/Beslerplatz- S Bahn Othmarschen",9.887159,53.560395
"160",245203,"Alsterdorfer Straße/Fuhlsbüttler Straße",10.032,53.62
"161",245204,"Fuhlsbüttler Straße/Hartzloh",10.041,53.601
"162",245434,"Eißendorfer Pferdeweg/ Asklepios-Klinik Harburg",9.951,53.459
"163",245452,"Versmannstraße/Am Hannoverschen Bahnhof",10.006168,53.540782
"164",247483,"Paul-Ehrlich-Straße/Asklepios Klinik Altona",9.900752,53.554433
"165",247846,"Niendorf Markt/Tibarg",9.9513113,53.6190722
"166",247847,"Nordalbinger Weg/Paul-Sorge-Straße",9.9500955,53.6408352
"167",247851,"Langenhorn Markt/Tangstedter Landstraße",10.0163663,53.6487572
"168",247852,"Weidestraße /Johannes-Prassek-Park",10.0258479,53.5808087
"169",248511,"Habichtstraße/Steilshooper Straße",10.0506397,53.593726
"170",250340,"Hugo-Kirchberg-Straße/Tesa",9.98528,53.65429
"171",251476,"Georg-Wilhelm-Straße/Mankiewicz",9.99,53.494
"172",252479,"Hindenburgstraße/Möringbogen",10.012225,53.606177
"173",252481,"Nordschleswiger Straße/Dulsberg-Nord",10.06523,53.585813
"174",252483,"Grandweg/Veilchenweg",9.964681,53.589185
"175",252484,"Siemersplatz/Kollaustraße",9.963929,53.600072
"176",252485,"Langenfelder Damm/Müggenkampstraße",9.938418,53.580757
"177",252486,"Randstraße/ Stellingen",9.919356,53.590248
"178",252487,"DESY/Notkestraße",9.878527,53.574537
"179",252488,"Große Elbstraße/Van-der-Smissen-Straße",9.94246,53.543906
"180",252492,"Thadenstraße/Holstenstraße",9.950708,53.555827
"181",252493,"Elbchaussee/Teufelsbrück",9.862013,53.547425
"182",252494,"Ohnhorststraße/Klein Flottbek",9.86216,53.558587
"183",252496,"Caspar-Voght-Straße/Sievekingsallee",10.061703,53.559893
"184",252497,"Riedweg/Vierbergen",10.095515,53.547643
"185",252498,"Billstedter Platz/Öjendorfer Weg",10.106106,53.540096
"186",252499,"Manshardtstraße/EKZ Manshardtstraße",10.107447,53.559215
"187",252500,"Osdorfer Landstraße/ Elbe-Einkaufszentrum",9.862423,53.571629
"188",252788,"Alsterdorf Markt/Evangelische Stiftung",10.0239462,53.6120909
"189",253227,"Neuländer Kamp/Eurofins ",10.0041327,53.4616513
"190",253357,"Djarkartaweg/Sengelmannstraße",10.022685,53.609163
"191",254723,"S Nettelnburg/Friedrich-Frank-Bogen",10.182199,53.488482
"192",254724,"Wentorfer Straße/Bezirksamt Bergedorf",10.22,53.487427
"193",254725,"Vierlandenstraße/Johann-Adolf-Hasse-Platz",10.210913,53.488449
"194",254726,"Lohbrügger Markt/Ludwig-Rosenberg-Ring",10.206894,53.494675
"195",254727,"Bahnhof Bergedorf/Johann-Meyer-Straße",10.206105,53.490496
"196",254728,"S Allermöhe/Walter-Rudolphi-Weg",10.158515,53.490126
"197",255298,"Friedrich-Ebert-Damm/Helbingtwiete",10.095665,53.588172
"198",255299,"Charlie-Mills-Straße/Friedrich-Ebert-Damm",10.106858,53.59145
"199",255302,"Rahlstedter Weg/Berner Heerweg",10.12021,53.606246
"200",255303,"Gründgensstraße/César-Klein-Ring",10.058096,53.610149
"201",255305,"Traberweg/Eckerkoppel",10.101459,53.598017
"202",256467,"Röntgenstraße/Philips",10.0122088,53.6234809
"203",264330,"Bleickenallee/Kinderkrankenhaus Altona",9.9129134,53.5512881
"204",264820,"Osterstraße/Heußweg",9.9520709,53.5759831
"205",264821,"Bahrenfelder Chaussee/Von-Sauer-Straße",9.9108696,53.5659729
"206",268358,"Sieldeich/ Gresham Carat Hotel",10.021814,53.528309
"207",138370,"Grindelberg / Bezirksamt Eimsbuettel",9.977883,53.575384
"208",242731,"Maretstrasse / Baererstrasse",9.982299,53.453659
